Designator,Footprint,Quantity,Value,LCSC Part #
"C10_4, C10_3, C10_2, C10, C14_4, C14_3, C14_2, C14, C9_4, C9_3, C9_2, C9",0402,12,1uF,
"C11_4, C11_3, C11_2, C11, C17_4, C17_3, C17_2, C17, C18_4, C18_3, C18_2, C18, C19_4, C19_3, C19_2, C19, C20_4, C20_3, C20_2, C20, C21_4, C21_3, C21_2, C21, C7_4, C7_3, C7_2, C7, C8_4, C8_3, C8_2, C8",0402,32,100nF,
"C12_4, C12_3, C12_2, C12, C13_4, C13_3, C13_2, C13",0402,8,15pF,
"C15_4, C15_3, C15_2, C15",0805,4,1uF,
"C16_4, C16_3, C16_2, C16, C22_4, C22_3, C22_2, C22",0402,8,100n,
"D1_4, D1_3, D1_2, D1, D4_4, D4_3, D4_2, D4",LED_SK6812_EC15_1.5x1.5mm,8,WS2812B,
"D2_4, D2_3, D2_2, D2, D3_4, D3_3, D3_2, D3",D_SOD-123F,8,MBR1020VL,
"J1_4, J1_3, J1_2, J1",USB_A_CNCTech_1001-011-01101_Horizontal,4,USB_A,
"J2_4, J2_3, J2_2, J2",PinHeader_2x02_P1.00mm_Vertical_SMD,4,Conn_02x02_Top_Bottom,
"J3_4, J3_3, J3_2, J3",microSD_HC_Molex_47219-2001,4,Micro_SD_Card,
"P2_4, P2_3, P2_2, P2",USB_C_Plug_Molex_105444,4,USB_C_Plug,
"R15_4, R15_3, R15_2, R15",0805,4,DNF,
"R16_4, R16_3, R16_2, R16, R17_4, R17_3, R17_2, R17, R18_4, R18_3, R18_2, R18, R19_4, R19_3, R19_2, R19, R20_4, R20_3, R20_2, R20, R21_4, R21_3, R21_2, R21",0402,24,10k,
"R22_4, R22_3, R22_2, R22, R7_4, R7_3, R7_2, R7",0402,8,27.4,
"R4_4, R4_3, R4_2, R4, R5_4, R5_3, R5_2, R5",0402,8,5.1K,
"R6_4, R6_3, R6_2, R6",0805,4,5.1K,
"R8_4, R8_3, R8_2, R8, R9_4, R9_3, R9_2, R9",0402,8,1k,
"SW3_4, SW3_3, SW3_2, SW3, SW4_4, SW4_3, SW4_2, SW4",SW_Push_SPST_NO_Alps_SKRK,8,BOOT_SEL,C318884
"U1_4, U1_3, U1_2, U1",SOIC-8_5.3x5.3mm_P1.27mm,4,W25Q16JVSS,
"U2_4, U2_3, U2_2, U2",SOT-23-5,4,AP2112K-3.3,
"U3_4, U3_3, U3_2, U3, U5_4, U5_3, U5_2, U5",SOT-666,8,USBLC6-2P6,
"U4_4, U4_3, U4_2, U4",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,4,RP2040,
"Y1_4, Y1_3, Y1_2, Y1",Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,4,Crystal_GND24,
