Designator,Mid X,Mid Y,Rotation,Layer
C10_4,136.499999,-74.779999,90.0,top
C10_3,157.499998,-74.779999,90.0,top
C10_2,115.499999,-74.77,90.0,top
C10,94.5,-74.77,90.0,top
C11_4,132.399999,-75.059999,90.0,top
C11_3,153.399998,-75.059999,90.0,top
C11_2,111.399999,-75.05,90.0,top
C11,90.4,-75.05,90.0,top
C12_4,145.799998,-87.109999,0.0,top
C12_3,124.799999,-87.109999,0.0,top
C12_2,103.799999,-87.1,0.0,top
C12,82.8,-87.1,0.0,top
C13_4,128.499999,-85.509999,180.0,top
C13_3,149.499998,-85.509999,180.0,top
C13_2,107.499999,-85.5,180.0,top
C13,86.5,-85.5,180.0,top
C14_4,139.849999,-94.059999,0.0,bottom
C14_3,160.849998,-94.059999,0.0,bottom
C14_2,118.849999,-94.05,0.0,bottom
C14,97.85,-94.05,0.0,bottom
C15_4,137.999999,-74.059999,270.0,top
C15_3,158.999998,-74.059999,270.0,top
C15_2,116.999999,-74.05,270.0,top
C15,96.0,-74.05,270.0,top
C16_4,126.399999,-68.009999,0.0,top
C16_3,147.399998,-68.009999,0.0,top
C16_2,105.399999,-68.0,0.0,top
C16,84.4,-68.0,0.0,top
C17_4,126.019999,-78.259999,180.0,top
C17_3,147.019998,-78.259999,180.0,top
C17_2,105.019999,-78.25,180.0,top
C17,84.02,-78.25,180.0,top
C18_4,125.999999,-79.259999,180.0,top
C18_3,146.999998,-79.259999,180.0,top
C18_2,104.999999,-79.25,180.0,top
C18,84.0,-79.25,180.0,top
C19_4,128.499999,-67.759999,180.0,top
C19_3,149.499998,-67.759999,180.0,top
C19_2,107.499999,-67.75,180.0,top
C19,86.5,-67.75,180.0,top
C20_4,130.499999,-67.759999,0.0,top
C20_3,151.499998,-67.759999,0.0,top
C20_2,109.499999,-67.75,0.0,top
C20,88.5,-67.75,0.0,top
C21_4,137.499999,-76.259999,0.0,top
C21_3,158.499998,-76.259999,0.0,top
C21_2,116.499999,-76.25,0.0,top
C21,95.5,-76.25,0.0,top
C22_4,137.499999,-77.259999,0.0,top
C22_3,158.499998,-77.259999,0.0,top
C22_2,116.499999,-77.25,0.0,top
C22,95.5,-77.25,0.0,top
C7_4,130.999999,-74.309999,90.0,top
C7_3,151.999998,-74.309999,90.0,top
C7_2,109.999999,-74.3,90.0,top
C7,89.0,-74.3,90.0,top
C8_4,132.999999,-79.279999,270.0,bottom
C8_3,153.999998,-79.279999,270.0,bottom
C8_2,111.999999,-79.27,270.0,bottom
C8,91.0,-79.27,270.0,bottom
C9_4,135.499999,-75.009999,90.0,top
C9_3,156.499998,-75.009999,90.0,top
C9_2,114.499999,-75.0,90.0,top
C9,93.5,-75.0,90.0,top
D1_4,140.949999,-80.459999,270.0,top
D1_3,161.949998,-80.459999,270.0,top
D1_2,119.949999,-80.45,270.0,top
D1,98.95,-80.45,270.0,top
D2_4,139.099999,-65.059999,180.0,top
D2_3,160.099998,-65.059999,180.0,top
D2_2,118.099999,-65.05,180.0,top
D2,97.1,-65.05,180.0,top
D3_4,139.449999,-103.709999,180.0,top
D3_3,160.449998,-103.709999,180.0,top
D3_2,118.449999,-103.7,180.0,top
D3,97.45,-103.7,180.0,top
D4_4,124.024999,-81.859999,0.0,top
D4_3,145.024998,-81.859999,0.0,top
D4_2,103.024999,-81.85,0.0,top
D4,82.025,-81.85,0.0,top
J1_4,132.299999,-114.159999,270.0,top
J1_3,153.299998,-114.159999,270.0,top
J1_2,111.299999,-114.15,270.0,top
J1,90.3,-114.15,270.0,top
J2_4,137.999999,-81.509999,270.0,top
J2_3,158.999998,-81.509999,270.0,top
J2_2,116.999999,-81.5,270.0,top
J2,96.0,-81.5,270.0,top
J3_4,134.524999,-94.554999,90.0,top
J3_3,155.524998,-94.554999,90.0,top
J3_2,113.524999,-94.545,90.0,top
J3,92.525,-94.545,90.0,top
P2_4,131.978999,-64.609999,0.0,top
P2_3,152.978998,-64.609999,0.0,top
P2_2,110.978999,-64.6,0.0,top
P2,89.979,-64.6,0.0,top
R15_4,123.739999,-76.639999,90.0,top
R15_3,144.739998,-76.639999,90.0,top
R15_2,102.739999,-76.63,90.0,top
R15,81.74,-76.63,90.0,top
R16_4,130.289999,-97.749999,180.0,bottom
R16_3,151.289998,-97.749999,180.0,bottom
R16_2,109.289999,-97.74,180.0,bottom
R16,88.29,-97.74,180.0,bottom
R17_4,130.289999,-96.749999,180.0,bottom
R17_3,151.289998,-96.749999,180.0,bottom
R17_2,109.289999,-96.74,180.0,bottom
R17,88.29,-96.74,180.0,bottom
R18_4,130.289999,-95.559999,180.0,bottom
R18_3,151.289998,-95.559999,180.0,bottom
R18_2,109.289999,-95.55,180.0,bottom
R18,88.29,-95.55,180.0,bottom
R19_4,130.289999,-93.359999,180.0,bottom
R19_3,151.289998,-93.359999,180.0,bottom
R19_2,109.289999,-93.35,180.0,bottom
R19,88.29,-93.35,180.0,bottom
R20_4,130.299999,-91.249999,180.0,bottom
R20_3,151.299998,-91.249999,180.0,bottom
R20_2,109.299999,-91.24,180.0,bottom
R20,88.3,-91.24,180.0,bottom
R21_4,130.289999,-90.059999,180.0,bottom
R21_3,151.289998,-90.059999,180.0,bottom
R21_2,109.289999,-90.05,180.0,bottom
R21,88.29,-90.05,180.0,bottom
R22_4,134.499999,-74.619999,90.0,top
R22_3,155.499998,-74.619999,90.0,top
